,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
311,,Jeep Compass Diesel Manuelle 2021 à Agadir,"Av Mokawama, Agadir",Compass,Jeep,85 000 - 89 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
312,,Ferrari California Essence Automatique 2012,"Anfa, Casablanca",California,Ferrari,80 000 - 84 999,Très bon,2012,Non,3,Dédouanée,Essence,Automatique
313,285 000 DH,Volkswagen T-Roc Diesel Automatique 2021 à Salé,"Lakhmis, Salé",T-Roc,Volkswagen,170 000 - 179 999,Très bon,2021,Oui,5,WW au Maroc,Diesel,Automatique
314,320 000 DH,BMW X6 3.0 DIESEL,"Mers Sultan, Casablanca",X6,BMW,150 000 - 159 999,Très bon,2017,Non,5,WW au Maroc,Diesel,Automatique
315,,Skoda Karoq Diesel Automatique 2022 Ded 02/2025,"Ville Nouvelle, Agadir",Karoq,Skoda,160 000 - 169 999,Neuf,2022,Oui,5,Dédouanée,Diesel,Automatique
316,,Mercedes-Benz Classe C Diesel Automatique 2017,"Toute la ville, Al Hoceima",Classe C,Mercedes-Benz,100 000 - 109 999,Excellent,2017,Non,5,Dédouanée,Diesel,Automatique
317,470 000 DH,Porshe Mancan S 2021,"Hay Targa, Marrakech",Macan,Porsche,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Essence,Automatique
318,294 000 DH,Volkswagen T-Roc Diesel Automatique 2023,"Hay Targa, Marrakech",T-Roc,Volkswagen,110 000 - 119 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
319,,BMW X6 XDRIVE PACK « M » 2021,"Mers Sultan, Casablanca",X6,BMW,70 000 - 74 999,Très bon,2021,Non,5,WW au Maroc,Diesel,Automatique
320,,PORSCHE 911 CARRERA CABRIOLET BOÎTE MANUELLE,"Mers Sultan, Casablanca",911,Porsche,90 000 - 94 999,Très bon,2008,Non,3,WW au Maroc,Essence,Manuelle
321,,Fiat 500 X Automatique 4×4,"Hay el Fath, Rabat",500X,Fiat,45 000 - 49 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
322,,Porsche 911Carrera Facelift Pack SportDesign(2025),"Maarif, Casablanca",Carrera,Porsche,0 - 4 999,Neuf,2024,Oui,3,Importée neuve,Essence,Automatique
323,,Kia Picanto Essence Manuelle 2022 à El Jadida,"Najd, El Jadida",Picanto,Kia,30 000 - 34 999,Neuf,2022,,,WW au Maroc,Essence,Manuelle
324,145 000 DH,Opel Astra Diesel Automatique 2019 à Fès,"Agdal, Fès",Astra,Opel,200 000 - 249 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Automatique
325,,Mercedes-Benz 300 Diesel Au hybride 2020 à Fès,"Narjis, Fès",300,Mercedes-Benz,45 000 - 49 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
326,220 000 DH,Peugeot 3008,"Autre secteur, Rabat",2008,Peugeot,65 000 - 69 999,Neuf,2020,Oui,5,WW au Maroc,Diesel,Manuelle
327,140 000 DH,Peugeot 208 tout option 2021 à Fès,"Agdal, Fès",208,Peugeot,80 000 - 84 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
328,,Land Rover Range Rover Evoque Diesel Automatique,"Oulfa, Casablanca",Range Rover Evoque,Land Rover,100 000 - 109 999,Très bon,2019,Non,5,WW au Maroc,Diesel,Automatique
329,,Audi A4 Diesel Automatique 2017 à Agadir,"Av Mokawama, Agadir",A4,Audi,120 000 - 129 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
330,,RANGE ROVER SPORT M2013,"Zerhounia, Meknès",Range Rover Sport,Land Rover,160 000 - 169 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Automatique
331,390 000 DH,Audi Q7 diesel 2019,"Belvédère, Casablanca",Q7,Audi,55 000 - 59 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Automatique
332,,volkswagen tegwan pak r lin,"Autre secteur, Tanger",Tiguan,Volkswagen,180 000 - 189 999,Très bon,2016,Non,5,Dédouanée,Diesel,Automatique
333,144 000 DH,Peugeot 208,"Wilaya, Tétouan",208,Peugeot,70 000 - 74 999,,2020,Non,5,WW au Maroc,Diesel,Manuelle
334,268 000 DH,Land Rover Range Rover Sport Diesel Automatique,"Hay Targa, Marrakech",Range Rover Sport,Land Rover,160 000 - 169 999,Excellent,2016,Non,5,WW au Maroc,Diesel,Automatique
335,,Volkswagen Tiguan Diesel Automatique 2021,"Aïn Chock, Casablanca",Tiguan,Volkswagen,90 000 - 94 999,Excellent,2021,,,Dédouanée,Diesel,Automatique
336,,Skoda Kodiaq Automatique2019 Ded02/2025 7place 4*4,"Ville Nouvelle, Agadir",Kodiaq,Skoda,120 000 - 129 999,Neuf,2019,Non,5,Dédouanée,Diesel,Automatique
337,,Citroën C5 Aircross Diesel 2022 à Rabat,"Massira, Rabat",C5,Citroen,130 000 - 139 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
338,,Mercedes-Benz 220 Diesel Automatique 2022 à Fès,"Narjis, Fès",220,Mercedes-Benz,65 000 - 69 999,Excellent,2022,Oui,5,,Diesel,Automatique
339,,Skoda Karoq Diesel Automatique 2020Ded 2025 Agadir,"Ville Nouvelle, Agadir",Karoq,Skoda,120 000 - 129 999,Neuf,2020,Non,5,,Diesel,Automatique
340,,Mercedes-Benz Classe GLE Coupé Diesel 2024,"Aïn Chock, Casablanca",Classe GLE,Mercedes-Benz,0 - 4 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
341,235 000 DH,Maserati Ghibli Diesel Automatique 2014,"Ain Sebaa, Casablanca",Ghibli,Maserati,80 000 - 84 999,Excellent,2014,Oui,5,WW au Maroc,Diesel,Automatique
342,,Renault Trafic Diesel Manuelle 2021 à Casablanca,"Aïn Borja, Casablanca",Trafic,Renault,100 000 - 109 999,Très bon,2021,Oui,5,WW au Maroc,Diesel,Manuelle
343,,Mercedes-Benz Classe CLA Diesel Automatique 2022,"Oulfa, Casablanca",Classe CLA,Mercedes-Benz,55 000 - 59 999,Très bon,2022,Oui,5,Dédouanée,Diesel,Automatique
344,136 000 DH,a5 coupé 3.0tdi quattro,"Maarif, Casablanca",A5,Audi,160 000 - 169 999,Très bon,2010,Non,3,WW au Maroc,Diesel,Automatique
345,105 000 DH,Isuzu D.MAX mliha,"Toute la ville, Béni Mellal",D-Max,Isuzu,300 000 - 349 999,Très bon,2008,Non,3,WW au Maroc,Diesel,Manuelle
346,,Kia Picanto Essence Manuelle 2022 à El Jadida,"Najd, El Jadida",Picanto,Kia,30 000 - 34 999,Neuf,2022,,,WW au Maroc,Essence,Manuelle
347,145 000 DH,Opel Astra Diesel Automatique 2019 à Fès,"Agdal, Fès",Astra,Opel,200 000 - 249 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Automatique
348,,Mercedes-Benz 300 Diesel Au hybride 2020 à Fès,"Narjis, Fès",300,Mercedes-Benz,45 000 - 49 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
349,220 000 DH,Peugeot 3008,"Autre secteur, Rabat",2008,Peugeot,65 000 - 69 999,Neuf,2020,Oui,5,WW au Maroc,Diesel,Manuelle
350,140 000 DH,Peugeot 208 tout option 2021 à Fès,"Agdal, Fès",208,Peugeot,80 000 - 84 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
351,,Land Rover Range Rover Evoque Diesel Automatique,"Oulfa, Casablanca",Range Rover Evoque,Land Rover,100 000 - 109 999,Très bon,2019,Non,5,WW au Maroc,Diesel,Automatique
352,,Audi A4 Diesel Automatique 2017 à Agadir,"Av Mokawama, Agadir",A4,Audi,120 000 - 129 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
353,,RANGE ROVER SPORT M2013,"Zerhounia, Meknès",Range Rover Sport,Land Rover,160 000 - 169 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Automatique
354,390 000 DH,Audi Q7 diesel 2019,"Belvédère, Casablanca",Q7,Audi,55 000 - 59 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Automatique
355,,volkswagen tegwan pak r lin,"Autre secteur, Tanger",Tiguan,Volkswagen,180 000 - 189 999,Très bon,2016,Non,5,Dédouanée,Diesel,Automatique
356,144 000 DH,Peugeot 208,"Wilaya, Tétouan",208,Peugeot,70 000 - 74 999,,2020,Non,5,WW au Maroc,Diesel,Manuelle
357,268 000 DH,Land Rover Range Rover Sport Diesel Automatique,"Hay Targa, Marrakech",Range Rover Sport,Land Rover,160 000 - 169 999,Excellent,2016,Non,5,WW au Maroc,Diesel,Automatique
358,,Volkswagen Tiguan Diesel Automatique 2021,"Aïn Chock, Casablanca",Tiguan,Volkswagen,90 000 - 94 999,Excellent,2021,,,Dédouanée,Diesel,Automatique
359,,Skoda Kodiaq Automatique2019 Ded02/2025 7place 4*4,"Ville Nouvelle, Agadir",Kodiaq,Skoda,120 000 - 129 999,Neuf,2019,Non,5,Dédouanée,Diesel,Automatique
360,,Citroën C5 Aircross Diesel 2022 à Rabat,"Massira, Rabat",C5,Citroen,130 000 - 139 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
361,,Mercedes-Benz 220 Diesel Automatique 2022 à Fès,"Narjis, Fès",220,Mercedes-Benz,65 000 - 69 999,Excellent,2022,Oui,5,,Diesel,Automatique
362,,Skoda Karoq Diesel Automatique 2020Ded 2025 Agadir,"Ville Nouvelle, Agadir",Karoq,Skoda,120 000 - 129 999,Neuf,2020,Non,5,,Diesel,Automatique
363,,Mercedes-Benz Classe GLE Coupé Diesel 2024,"Aïn Chock, Casablanca",Classe GLE,Mercedes-Benz,0 - 4 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
364,235 000 DH,Maserati Ghibli Diesel Automatique 2014,"Ain Sebaa, Casablanca",Ghibli,Maserati,80 000 - 84 999,Excellent,2014,Oui,5,WW au Maroc,Diesel,Automatique
365,,Renault Trafic Diesel Manuelle 2021 à Casablanca,"Aïn Borja, Casablanca",Trafic,Renault,100 000 - 109 999,Très bon,2021,Oui,5,WW au Maroc,Diesel,Manuelle
366,,Mercedes-Benz Classe CLA Diesel Automatique 2022,"Oulfa, Casablanca",Classe CLA,Mercedes-Benz,55 000 - 59 999,Très bon,2022,Oui,5,Dédouanée,Diesel,Automatique
367,136 000 DH,a5 coupé 3.0tdi quattro,"Maarif, Casablanca",A5,Audi,160 000 - 169 999,Très bon,2010,Non,3,WW au Maroc,Diesel,Automatique
368,105 000 DH,Isuzu D.MAX mliha,"Toute la ville, Béni Mellal",D-Max,Isuzu,300 000 - 349 999,Très bon,2008,Non,3,WW au Maroc,Diesel,Manuelle
369,125 000 DH,BMW Série 5 Diesel Automatique 2010 à Rabat,"Diour Jamaa, Rabat",Série 5,BMW,300 000 - 349 999,Très bon,2010,Non,5,WW au Maroc,Diesel,Automatique
370,220 000 DH,BMW SERIES 4 420,"Hay Riad, Rabat",Série 4,BMW,160 000 - 169 999,Excellent,2014,Non,5,WW au Maroc,Diesel,Automatique
371,125 000 DH,BMW Série 5 Diesel Automatique 2010 à Rabat,"Diour Jamaa, Rabat",Série 5,BMW,300 000 - 349 999,Très bon,2010,Non,5,WW au Maroc,Diesel,Automatique
372,125 000 DH,BMW Série 5 Diesel Automatique 2010 à Rabat,"Diour Jamaa, Rabat",Série 5,BMW,300 000 - 349 999,Très bon,2010,Non,5,WW au Maroc,Diesel,Automatique
373,250 000 DH,"golf 7,5 gti ligne akra povic","Toute la ville, Béni Mellal",Golf 7,Volkswagen,150 000 - 159 999,Excellent,2017,Oui,5,Dédouanée,Essence,Automatique
374,110 000 DH,toyota yaris,"Hay Chmaou, Salé",Yaris,Toyota,90 000 - 94 999,Très bon,2017,Non,5,,Diesel,Manuelle
375,178 000 DH,Skoda octavia bon etat 2018,"Tilila, Agadir",Octavia,Skoda,160 000 - 169 999,Très bon,2018,,,,Diesel,Manuelle
376,,Volkdwagen Touareg Diesel Automatique 2023,"Californie, Casablanca",Touareg,Volkswagen,50 000 - 54 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
377,,Peugeot 3008 Diesel Automatique 2019 à Rabat,"Massira, Rabat",3008,Peugeot,140 000 - 149 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
378,299 000 DH,Land Rover Range Rover Evoque Diesel Automatique,"Targa, Marrakech",Range Rover Evoque,Land Rover,120 000 - 129 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Automatique
379,,Mercedes-Benz Classe S AMG Coupe,"Quartier des Hôpitaux, Casablanca",Classe S,Mercedes-Benz,90 000 - 94 999,Excellent,2019,Oui,3,Importée neuve,Essence,Automatique
380,,tiguan 2018 à Rabat,"Hay Riad, Rabat",Tiguan,Volkswagen,100 000 - 109 999,Excellent,2018,Oui,5,WW au Maroc,Diesel,Automatique
381,107 000 DH,volkswagen Golf 6 diesel,"Guich Oudaya, Rabat",Golf 6,Volkswagen,190 000 - 199 999,Très bon,2010,Non,5,WW au Maroc,Diesel,Manuelle
382,170 000 DH,Range Rover Sport Autobiography,"Wilaya, Tétouan",Range Rover Sport,Land Rover,180 000 - 189 999,Excellent,2011,Non,5,Importée neuve,Diesel,Automatique
383,,BMW Série 740ld,"Aïn Diab, Casablanca",Série 7,BMW,190 000 - 199 999,Excellent,2018,,5,Importée neuve,Diesel,Automatique
384,120 000 DH,Renault Captur Diesel Manuelle 2015 à Casablanca,"Californie, Casablanca",Captur,Renault,110 000 - 119 999,Très bon,2015,Oui,5,WW au Maroc,Diesel,Manuelle
385,,volkswagen,"Al aroui, Nador",Passat,Volkswagen,25 000 - 29 999,Excellent,2006,Non,,Dédouanée,Diesel,Manuelle
386,40 000 DH,clio,"Said Hajji, Salé",Clio,Renault,30 000 - 34 999,Très bon,2000,Non,5,WW au Maroc,Essence,Manuelle
387,78 000 DH,fiat,"Toute la ville, Berrechid",Grande Punto,Fiat,190 000 - 199 999,Excellent,2014,Non,5,WW au Maroc,Diesel,Manuelle
388,,bmw série 420 grand coupé,"Oasis, Casablanca",Série 4,BMW,0 - 4 999,Neuf,2024,Oui,5,WW au Maroc,Diesel,Automatique
389,,Volkswagen Passat CC Diesel Manuelle 2018 à Safi,"Hay Essaâda, Safi",Passat CC,Volkswagen,140 000 - 149 999,Neuf,2018,Oui,5,WW au Maroc,Diesel,Manuelle
390,,Mercedes classe V Maybach,"Oasis, Casablanca",Classe V,Mercedes-Benz,55 000 - 59 999,Neuf,2018,Oui,5,Importée neuve,Diesel,Automatique
391,,Volkswagen Touareg automatique 2023,"Av Mokawama, Agadir",Touareg,Volkswagen,70 000 - 74 999,Neuf,2023,Oui,5,WW au Maroc,Diesel,Automatique
392,98 000 DH,Mini Mini,"Aïn Diab, Casablanca",Mini Coupé,Mini,40 000 - 44 999,Très bon,2007,Oui,3,WW au Maroc,Essence,Manuelle
393,,Skouda Kodiaq elka,"Aïn Chock, Casablanca",Kodiaq,Skoda,110 000 - 119 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
394,800 000 DH,Audi Q8 Quatre,"Medina, Salé",Q8,Audi,70 000 - 74 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
395,,Citroen Berlingo Diesel Manuelle 2021 à Fès,"Route Ain Chkaf, Fès",Berlingo,Citroen,100 000 - 109 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
396,132 000 DH,VOLVO S60 D4 R-DESIGN,"Riad Oulad Mtaa, Temara",S60,Volvo,200 000 - 249 999,Très bon,2015,Non,,WW au Maroc,Diesel,Automatique
397,,Audi A5 S line Diesel,"Aïn Chock, Casablanca",A5,Audi,0 - 4 999,Neuf,2025,Non,5,Importée neuve,Diesel,Automatique
398,,Mercedes-Benz Classe GLC 300de pack AMG 2021,"Route Ain Chkaf, Fès",Classe GLC,Mercedes-Benz,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
399,,alfa Romeo-Giulietta Automatique,"Hay Riad, Rabat",Giulietta,Alfa Romeo,95 000 - 99 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
400,,Mercedes-Benz 300 Diesel Automatique 2020 à Fès,"Narjis, Fès",300,Mercedes-Benz,95 000 - 99 999,Excellent,2020,,5,Dédouanée,Diesel,Automatique
401,,Mercedes-Benz Vito Transport touristique,"Aïn Borja, Casablanca",Vito,Mercedes-Benz,130 000 - 139 999,Excellent,2019,,5,Dédouanée,Diesel,Automatique
402,,Peugeot Rifter Diesel Manuelle 2022 à Tanger,"Achakar, Tanger",Rifter,Peugeot,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
403,,Bmw X4 pack M modèle 2016 full option 2L diesel,"Hay Riad, Rabat",X4,BMW,20 000 - 24 999,Très bon,2016,Oui,5,Importée neuve,Diesel,Automatique
404,,Dacia Duster,"Maarif, Casablanca",Duster,Dacia,30 000 - 34 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Manuelle
405,162 000 DH,Opel corsa Gs model 2022,"Hamria, Meknès",Corsa,Opel,90 000 - 94 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
406,,Skoda Karoq Diesel Automatique 2020 Ded 04/2025,"Abattoirs, Agadir",Karoq,Skoda,140 000 - 149 999,Neuf,2020,Non,5,Dédouanée,Diesel,Automatique
407,150 000 DH,Jeep grand Cherokee overland 2019,"Belvédère, Casablanca",Grand Cherokee,Jeep,120 000 - 129 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Automatique
408,,Volkswagen touareg diesel,"Massira, Rabat",Touareg,Volkswagen,130 000 - 139 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
409,300 000 DH,jeep compass,"Autre secteur, Casablanca",Compass,Jeep,30 000 - 34 999,Excellent,2023,Oui,5,WW au Maroc,Hybride,Automatique
410,,Cayenne Coupé-S Hybride Sport Design(Neuve 2025),"Maarif, Casablanca",Cayenne,Porsche,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
411,660 000 DH,Touareg R Line,"Wilaya, Tétouan",Touareg,Volkswagen,80 000 - 84 999,,2022,Non,5,WW au Maroc,Diesel,Automatique
412,,Volkswagen Touareg automatique 2018,"Av Mokawama, Agadir",Touareg,Volkswagen,190 000 - 199 999,Excellent,2018,Oui,5,WW au Maroc,Diesel,Automatique
413,,Porsche 911 Carrera 4GTS 2025,"Maarif, Casablanca",911,Porsche,0 - 4 999,Neuf,2025,,3,Importée neuve,Essence,Automatique
414,,Peugeot 208 Diesel Manuelle 2023 à Rabat,"Hay Riad, Rabat",208,Peugeot,35 000 - 39 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
415,,Volkswagen Touareg automatique 2023,"Av Mokawama, Agadir",Touareg,Volkswagen,70 000 - 74 999,Neuf,2023,Oui,5,WW au Maroc,Diesel,Automatique
416,98 000 DH,Mini Mini,"Aïn Diab, Casablanca",Mini Coupé,Mini,40 000 - 44 999,Très bon,2007,Oui,3,WW au Maroc,Essence,Manuelle
417,,Skouda Kodiaq elka,"Aïn Chock, Casablanca",Kodiaq,Skoda,110 000 - 119 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
418,800 000 DH,Audi Q8 Quatre,"Medina, Salé",Q8,Audi,70 000 - 74 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
419,,Citroen Berlingo Diesel Manuelle 2021 à Fès,"Route Ain Chkaf, Fès",Berlingo,Citroen,100 000 - 109 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
420,132 000 DH,VOLVO S60 D4 R-DESIGN,"Riad Oulad Mtaa, Temara",S60,Volvo,200 000 - 249 999,Très bon,2015,Non,,WW au Maroc,Diesel,Automatique
421,,Audi A5 S line Diesel,"Aïn Chock, Casablanca",A5,Audi,0 - 4 999,Neuf,2025,Non,5,Importée neuve,Diesel,Automatique
422,,Mercedes-Benz Classe GLC 300de pack AMG 2021,"Route Ain Chkaf, Fès",Classe GLC,Mercedes-Benz,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
423,,alfa Romeo-Giulietta Automatique,"Hay Riad, Rabat",Giulietta,Alfa Romeo,95 000 - 99 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
424,,Mercedes-Benz 300 Diesel Automatique 2020 à Fès,"Narjis, Fès",300,Mercedes-Benz,95 000 - 99 999,Excellent,2020,,5,Dédouanée,Diesel,Automatique
425,,Mercedes-Benz Vito Transport touristique,"Aïn Borja, Casablanca",Vito,Mercedes-Benz,130 000 - 139 999,Excellent,2019,,5,Dédouanée,Diesel,Automatique
426,,Peugeot Rifter Diesel Manuelle 2022 à Tanger,"Achakar, Tanger",Rifter,Peugeot,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
427,,Bmw X4 pack M modèle 2016 full option 2L diesel,"Hay Riad, Rabat",X4,BMW,20 000 - 24 999,Très bon,2016,Oui,5,Importée neuve,Diesel,Automatique
428,,Dacia Duster,"Maarif, Casablanca",Duster,Dacia,30 000 - 34 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Manuelle
429,162 000 DH,Opel corsa Gs model 2022,"Hamria, Meknès",Corsa,Opel,90 000 - 94 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
430,,Skoda Karoq Diesel Automatique 2020 Ded 04/2025,"Abattoirs, Agadir",Karoq,Skoda,140 000 - 149 999,Neuf,2020,Non,5,Dédouanée,Diesel,Automatique
431,150 000 DH,Jeep grand Cherokee overland 2019,"Belvédère, Casablanca",Grand Cherokee,Jeep,120 000 - 129 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Automatique
432,,Volkswagen touareg diesel,"Massira, Rabat",Touareg,Volkswagen,130 000 - 139 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
433,300 000 DH,jeep compass,"Autre secteur, Casablanca",Compass,Jeep,30 000 - 34 999,Excellent,2023,Oui,5,WW au Maroc,Hybride,Automatique
434,,Cayenne Coupé-S Hybride Sport Design(Neuve 2025),"Maarif, Casablanca",Cayenne,Porsche,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
435,660 000 DH,Touareg R Line,"Wilaya, Tétouan",Touareg,Volkswagen,80 000 - 84 999,,2022,Non,5,WW au Maroc,Diesel,Automatique
436,,Volkswagen Touareg automatique 2018,"Av Mokawama, Agadir",Touareg,Volkswagen,190 000 - 199 999,Excellent,2018,Oui,5,WW au Maroc,Diesel,Automatique
437,,Porsche 911 Carrera 4GTS 2025,"Maarif, Casablanca",911,Porsche,0 - 4 999,Neuf,2025,,3,Importée neuve,Essence,Automatique
438,,Peugeot 208 Diesel Manuelle 2023 à Rabat,"Hay Riad, Rabat",208,Peugeot,35 000 - 39 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
439,,TIGUAN AUTOMATIQUE M2018,"Zerhounia, Meknès",Tiguan,Volkswagen,170 000 - 179 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Automatique
440,,Volkswagen Caddy Diesel Automatique 2021 à Agadir,"Ville Nouvelle, Agadir",Caddy,Volkswagen,160 000 - 169 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Automatique
441,,Audi Q2 Diesel Automatique 2021 à Casablanca,"Aïn Chock, Casablanca",Q2,Audi,100 000 - 109 999,Excellent,2021,Non,,Dédouanée,Diesel,Automatique
442,,Volkswagen Tiguan R-Line Diesel Automatique 2021,"Oulfa, Casablanca",Tiguan,Volkswagen,100 000 - 109 999,Excellent,2021,Non,5,Dédouanée,Diesel,Automatique
443,115 000 DH,Clio intense Faiibl kilométrage,"Aïn Diab, Casablanca",Golf 7,Volkswagen,130 000 - 139 999,Excellent,2013,Oui,5,Dédouanée,Diesel,Manuelle
444,,Audi Q5 Diesel Automatique 2021 à Fès,"Narjis, Fès",Clio,Renault,80 000 - 84 999,Excellent,2015,,5,,Diesel,Manuelle
445,185 000 DH,Volkswagen Touareg Diesel Automatique,"Hay Hassani, Casablanca",Q5,Audi,65 000 - 69 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
446,,Opel Adam Essence 2017 à Rabat,"Massira, Rabat",Touareg,Volkswagen,180 000 - 189 999,Très bon,2015,Non,3,WW au Maroc,Diesel,Automatique
447,,DACIA DUSTER M2018,"Zerhounia, Meknès",Adam,Opel,100 000 - 109 999,Excellent,2017,,3,WW au Maroc,Essence,Manuelle
448,170 000 DH,Mercedes C200 fin 2013,"Sidi Moumen, Casablanca",Duster,Dacia,200 000 - 249 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Manuelle
449,,Skoda Kodiaq Diesel Automatique 2023 à Casablanca,"Aïn Chock, Casablanca",220,Mercedes-Benz,250 000 - 299 999,Excellent,2014,Non,5,WW au Maroc,Diesel,Manuelle
450,135 000 DH,Jeep Grand Cherokee Limited,"Aïn Diab, Casablanca",Kodiaq,Skoda,45 000 - 49 999,Très bon,2023,Oui,5,WW au Maroc,Diesel,Automatique
451,,Volkswagen Tiguan Diesel Automatique 2019,"Aïn Chock, Casablanca",Grand Cherokee,Jeep,200 000 - 249 999,Très bon,2017,,5,WW au Maroc,Diesel,Automatique
452,,Nissan Qashqai Diesel Manuelle 2020 à Agadir,"Av Mokawama, Agadir",Tiguan,Volkswagen,130 000 - 139 999,Excellent,2019,Non,5,Dédouanée,Diesel,Automatique
453,420 000 DH,Audi Q5 Diesel Automatique 2021 à Casablanca,"Maarif, Casablanca",Qashqai,Nissan,100 000 - 109 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Manuelle
454,187 000 DH,VOLKSWAGEN JETTA 2L TDI FULL OPTIONS,"Bel Air - Val fleuri, Tanger",Q5,Audi,15 000 - 19 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
455,,Peugeot 208 Diesel Manuelle 2021 à Rabat,"Hassan, Rabat",Jetta,Volkswagen,95 000 - 99 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
456,,volkswagen touran highline 7places 1ére main,"Wilaya, Tétouan",208,Peugeot,55 000 - 59 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
457,,Renault megane boite manuelle,"Jawhara, El Jadida",Touran,Volkswagen,70 000 - 74 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Manuelle
458,,Peugeot 208 Diesel Manuelle 2022 à Agadir,"Av Mokawama, Agadir",Megane,Renault,100 000 - 109 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Manuelle
459,,Cayenne Coupe-S Hybrid Sport Design(Neuve 2025),"Maarif, Casablanca",208,Peugeot,120 000 - 129 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
460,147 000 DH,Fiat 500L modèle 2017,"Massira, Rabat",Cayenne,Porsche,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
461,,range rover sport dynamique,"Oasis, Casablanca",500L,Fiat,35 000 - 39 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Manuelle
462,,Mercedes Classe C 220 D 9G-TRONIC AMG LINE,"Florida, Casablanca",Range Rover Sport,Land Rover,10 000 - 14 999,Neuf,2023,Oui,5,WW au Maroc,Diesel,Automatique
463,385 000 DH,Volkswagen Touareg Diesel Automatique 2022,"Oulfa, Casablanca",Classe C,Mercedes-Benz,100 000 - 109 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
464,120 000 DH,ford focus model 2014,"Oulfa, Casablanca",Touareg,Volkswagen,160 000 - 169 999,Bon,2022,Non,5,WW au Maroc,Diesel,Automatique
